,human,machine
5810,saturday february 23 2013,2013-02-23
5811,sunday april 25 1982,1982-04-25
5812,2 march 1998,1998-03-02
5813,saturday august 12 1989,1989-08-12
5814,1 may 1993,1993-05-01
5815,06 apr 1996,1996-04-06
5816,wednesday october 16 1991,1991-10-16
5817,september 4 1997,1997-09-04
5818,sunday september 17 2006,2006-09-17
5819,sunday june 12 1994,1994-06-12
5820,04.11.08,2008-11-04
5821,11 october 2013,2013-10-11
5822,september 22 2017,2017-09-22
5823,30 sep 1979,1979-09-30
5824,17 november 2007,2007-11-17
5825,monday july 29 1996,1996-07-29
5826,08 may 1984,1984-05-08
5827,monday january 21 1985,1985-01-21
5828,wednesday september 8 2010,2010-09-08
5829,april 9 1971,1971-04-09
5830,5 12 94,1994-12-05
5831,sunday june 11 1995,1995-06-11
5832,11 july 1993,1993-07-11
5833,18 03 85,1985-03-18
5834,friday april 9 1993,1993-04-09
5835,wednesday august 29 1979,1979-08-29
5836,wednesday september 2 1987,1987-09-02
5837,monday july 22 1985,1985-07-22
5838,friday december 28 1990,1990-12-28
5839,tuesday december 18 2012,2012-12-18
5840,12 feb 2009,2009-02-12
5841,sunday march 9 1975,1975-03-09
5842,sunday july 25 1971,1971-07-25
5843,9 july 1990,1990-07-09
5844,sunday august 27 2017,2017-08-27
5845,saturday february 4 1978,1978-02-04
5846,tuesday april 11 2006,2006-04-11
5847,20.09.13,2013-09-20
5848,10 aug 1986,1986-08-10
5849,11/16/05,2005-11-16
5850,15 february 2011,2011-02-15
5851,5/2/82,1982-05-02
5852,14 01 71,1971-01-14
5853,november 13 1994,1994-11-13
5854,25.10.92,1992-10-25
5855,wednesday october 29 2008,2008-10-29
5856,saturday january 6 2007,2007-01-06
5857,12 august 2017,2017-08-12
5858,july 3 1996,1996-07-03
5859,apr 9 1971,1971-04-09
5860,may 22 1998,1998-05-22
5861,may 1 1984,1984-05-01
5862,21 nov 1982,1982-11-21
5863,02 may 1973,1973-05-02
5864,3/17/80,1980-03-17
5865,sunday january 16 2011,2011-01-16
5866,wednesday march 2 1977,1977-03-02
5867,29 july 2009,2009-07-29
5868,june 2 1993,1993-06-02
5869,27 12 91,1991-12-27
5870,sunday february 1 1998,1998-02-01
5871,09 dec 2002,2002-12-09
5872,23 july 1970,1970-07-23
5873,11 nov 1973,1973-11-11
5874,apr 5 2013,2013-04-05
5875,tuesday december 31 2013,2013-12-31
5876,13 june 1975,1975-06-13
5877,march 31 2013,2013-03-31
5878,sunday may 5 1996,1996-05-05
5879,october 13 1971,1971-10-13
5880,tuesday march 28 1989,1989-03-28
5881,october 20 2009,2009-10-20
5882,january 10 1993,1993-01-10
5883,monday june 2 1997,1997-06-02
5884,22 aug 1973,1973-08-22
5885,26 july 2007,2007-07-26
5886,22 sep 2002,2002-09-22
5887,saturday september 22 1973,1973-09-22
5888,november 12 1987,1987-11-12
5889,april 5 1981,1981-04-05
5890,monday june 3 1996,1996-06-03
5891,02.08.90,1990-08-02
5892,wednesday february 23 1994,1994-02-23
5893,16 aug 2016,2016-08-16
5894,12 july 1981,1981-07-12
5895,sunday september 11 2011,2011-09-11
5896,14.03.06,2006-03-14
5897,thursday january 30 2014,2014-01-30
5898,31 jul 1993,1993-07-31
5899,march 25 2007,2007-03-25
5900,monday may 5 1980,1980-05-05
5901,friday december 26 1975,1975-12-26
5902,07 aug 1970,1970-08-07
5903,17 jun 2001,2001-06-17
5904,tuesday december 12 1995,1995-12-12
5905,sunday may 26 1985,1985-05-26
5906,sunday november 11 2001,2001-11-11
5907,22 december 1975,1975-12-22
5908,monday july 13 1992,1992-07-13
5909,03.02.91,1991-02-03
5910,tuesday july 24 1979,1979-07-24
5911,wednesday july 2 2003,2003-07-02
5912,3 apr 1996,1996-04-03
5913,07.09.92,1992-09-07
5914,saturday september 29 2007,2007-09-29
5915,24 march 2010,2010-03-24
5916,9/15/85,1985-09-15
5917,22 january 1982,1982-01-22
5918,thursday july 11 2013,2013-07-11
5919,20 may 2009,2009-05-20
5920,tuesday november 8 2011,2011-11-08
5921,14 may 1970,1970-05-14
5922,21 january 1982,1982-01-21
5923,wednesday december 14 2016,2016-12-14
5924,7/14/97,1997-07-14
5925,tuesday may 26 1970,1970-05-26
5926,24 nov 1992,1992-11-24
5927,tuesday february 21 1989,1989-02-21
5928,monday january 15 1979,1979-01-15
5929,tuesday june 3 1980,1980-06-03
5930,friday april 2 2004,2004-04-02
5931,monday september 14 2009,2009-09-14
5932,wednesday may 10 2000,2000-05-10
5933,12 february 1983,1983-02-12
5934,jun 23 2000,2000-06-23
5935,sunday august 8 1999,1999-08-08
5936,12 jan 1988,1988-01-12
5937,tuesday may 3 1977,1977-05-03
5938,16 june 2015,2015-06-16
5939,july 16 1987,1987-07-16
5940,friday september 14 1979,1979-09-14
5941,19 october 2007,2007-10-19
5942,wednesday november 18 2009,2009-11-18
5943,11.07.84,1984-07-11
5944,sunday november 25 1984,1984-11-25
5945,tuesday november 22 2011,2011-11-22
5946,thursday november 24 2011,2011-11-24
5947,saturday january 13 2001,2001-01-13
5948,jan 23 2006,2006-01-23
5949,thursday september 28 2000,2000-09-28
5950,31 oct 1984,1984-10-31
5951,05 jan 1974,1974-01-05
5952,sunday november 11 1984,1984-11-11
5953,19 05 82,1982-05-19
5954,saturday june 30 2001,2001-06-30
5955,tuesday october 20 1981,1981-10-20
5956,29 july 1994,1994-07-29
5957,tuesday april 3 1979,1979-04-03
5958,24 january 1986,1986-01-24
5959,tuesday june 1 1993,1993-06-01
5960,03.01.95,1995-01-03
5961,tuesday june 17 2008,2008-06-17
5962,15 july 1999,1999-07-15
5963,21 august 2011,2011-08-21
5964,12 jun 2009,2009-06-12
5965,november 9 1989,1989-11-09
5966,24 june 2007,2007-06-24
5967,thursday july 14 1977,1977-07-14
5968,sunday august 22 1999,1999-08-22
5969,monday december 11 1978,1978-12-11
5970,31 jan 2008,2008-01-31
5971,3 12 97,1997-12-03
5972,november 23 1988,1988-11-23
5973,saturday december 24 1983,1983-12-24
5974,28 oct 2001,2001-10-28
5975,9 jun 1985,1985-06-09
5976,11 february 2014,2014-02-11
5977,thursday april 10 2008,2008-04-10
5978,friday july 22 1988,1988-07-22
5979,march 11 1999,1999-03-11
5980,wednesday january 30 2002,2002-01-30
5981,friday february 6 1998,1998-02-06
5982,26 nov 1990,1990-11-26
5983,sunday march 13 2011,2011-03-13
5984,thursday august 15 1974,1974-08-15
5985,thursday september 23 1982,1982-09-23
5986,sep 10 2017,2017-09-10
5987,thursday march 11 1971,1971-03-11
5988,september 24 1973,1973-09-24
5989,16 february 2002,2002-02-16
5990,monday october 11 1976,1976-10-11
5991,jun 24 1971,1971-06-24
5992,10 jan 1993,1993-01-10
5993,sunday october 15 1972,1972-10-15
5994,04 apr 2012,2012-04-04
5995,10 01 08,2008-01-10
5996,wednesday may 23 2001,2001-05-23
5997,30 mar 2008,2008-03-30
5998,thursday april 13 2017,2017-04-13
5999,friday november 17 2017,2017-11-17
6000,december 15 2017,2017-12-15
6001,november 22 1996,1996-11-22
6002,4 dec 1998,1998-12-04
6003,saturday april 23 1977,1977-04-23
6004,20 jul 1974,1974-07-20
6005,4 january 1977,1977-01-04
6006,january 31 1999,1999-01-31
6007,friday march 13 1970,1970-03-13
6008,sunday september 29 1991,1991-09-29
6009,02.08.75,1975-08-02
6010,6/16/12,2012-06-16
6011,wednesday april 8 1998,1998-04-08
6012,28 jun 1995,1995-06-28
6013,december 28 1979,1979-12-28
6014,26 jan 1987,1987-01-26
6015,april 27 2000,2000-04-27
6016,16 may 2005,2005-05-16
6017,30 july 1982,1982-07-30
6018,july 12 1989,1989-07-12
6019,june 29 2017,2017-06-29
6020,24 december 2009,2009-12-24
6021,tuesday july 11 1978,1978-07-11
6022,thursday october 21 2004,2004-10-21
6023,friday june 14 1974,1974-06-14
6024,october 28 2000,2000-10-28
6025,13 jul 1977,1977-07-13
6026,sunday april 25 1971,1971-04-25
6027,26 may 2000,2000-05-26
6028,17 03 71,1971-03-17
6029,28 07 92,1992-07-28
6030,thursday september 27 1979,1979-09-27
6031,tuesday march 16 1971,1971-03-16
6032,02 feb 1982,1982-02-02
6033,10 oct 1993,1993-10-10
6034,29 dec 1970,1970-12-29
6035,sunday may 23 1982,1982-05-23
6036,31 jul 2003,2003-07-31
6037,04.04.07,2007-04-04
6038,24 apr 1978,1978-04-24
6039,10 may 2005,2005-05-10
6040,30 may 1985,1985-05-30
6041,july 26 1976,1976-07-26
6042,21 august 2017,2017-08-21
6043,october 4 2004,2004-10-04
6044,29 april 1973,1973-04-29
6045,03 oct 1990,1990-10-03
6046,28.11.79,1979-11-28
6047,4 august 1984,1984-08-04
6048,wednesday january 25 1989,1989-01-25
6049,25 nov 2014,2014-11-25
6050,18 dec 2005,2005-12-18
6051,11/6/95,1995-11-06
6052,saturday october 31 1992,1992-10-31
6053,sunday february 6 2005,2005-02-06
6054,february 6 2005,2005-02-06
6055,june 5 1984,1984-06-05
6056,21 oct 2014,2014-10-21
6057,saturday june 20 1987,1987-06-20
6058,4/26/91,1991-04-26
6059,january 1 1991,1991-01-01
6060,wednesday may 3 1978,1978-05-03
6061,14 jul 1981,1981-07-14
6062,wednesday february 15 1989,1989-02-15
6063,aug 10 2003,2003-08-10
6064,29.08.96,1996-08-29
6065,thursday january 5 1989,1989-01-05
6066,14 sep 1985,1985-09-14
6067,december 10 1976,1976-12-10
6068,sunday july 14 1991,1991-07-14
6069,15 jan 1981,1981-01-15
6070,29 oct 1980,1980-10-29
6071,tuesday december 3 2013,2013-12-03
6072,saturday may 6 1978,1978-05-06
6073,april 2 1975,1975-04-02
6074,22 september 1996,1996-09-22
6075,friday july 4 2014,2014-07-04
6076,august 28 1983,1983-08-28
6077,saturday august 8 1981,1981-08-08
6078,7 september 1977,1977-09-07
6079,25 may 1970,1970-05-25
6080,5 04 72,1972-04-05
6081,saturday march 20 1971,1971-03-20
6082,saturday december 17 1977,1977-12-17
6083,03.07.92,1992-07-03
6084,august 25 1998,1998-08-25
6085,aug 29 2006,2006-08-29
6086,22 december 1984,1984-12-22
6087,saturday july 11 1992,1992-07-11
6088,29 april 2016,2016-04-29
6089,october 1 2003,2003-10-01
6090,25.12.78,1978-12-25
6091,10 apr 1991,1991-04-10
6092,dec 25 1993,1993-12-25
6093,02 jul 2002,2002-07-02
6094,wednesday june 21 2017,2017-06-21
6095,sunday april 5 1987,1987-04-05
6096,saturday january 31 1987,1987-01-31
6097,22 december 1974,1974-12-22
6098,sunday april 6 2003,2003-04-06
6099,17 jul 1992,1992-07-17
6100,24 mar 1970,1970-03-24
6101,january 2 1978,1978-01-02
6102,friday may 30 2003,2003-05-30
6103,friday may 30 2014,2014-05-30
6104,27.10.08,2008-10-27
6105,saturday may 30 2015,2015-05-30
6106,9 mar 1971,1971-03-09
6107,3 april 2002,2002-04-03
6108,24 august 1985,1985-08-24
6109,5 may 1985,1985-05-05
6110,2 mar 1999,1999-03-02
6111,22 september 1970,1970-09-22
6112,friday july 27 2001,2001-07-27
6113,21 august 1985,1985-08-21
6114,monday december 1 1975,1975-12-01
6115,sunday september 13 1998,1998-09-13
6116,sunday november 17 1991,1991-11-17
6117,august 22 2003,2003-08-22
6118,3 january 2013,2013-01-03
6119,saturday april 26 2014,2014-04-26
6120,7/29/79,1979-07-29
6121,5 sep 1985,1985-09-05
6122,monday june 2 1997,1997-06-02
6123,wednesday november 21 1979,1979-11-21
6124,sunday december 3 2006,2006-12-03
6125,27 04 93,1993-04-27
6126,29 january 1997,1997-01-29
6127,monday august 10 2009,2009-08-10
6128,oct 27 2002,2002-10-27
6129,17 may 2010,2010-05-17
6130,10/27/98,1998-10-27
6131,17 aug 1984,1984-08-17
6132,tuesday december 27 1994,1994-12-27
6133,12 06 78,1978-06-12
6134,friday january 18 2013,2013-01-18
6135,4/27/89,1989-04-27
6136,11 jul 1991,1991-07-11
6137,jul 2 2013,2013-07-02
6138,monday february 12 1973,1973-02-12
6139,12 jun 1972,1972-06-12
6140,thursday july 6 1995,1995-07-06
6141,wednesday may 16 2012,2012-05-16
6142,tuesday december 15 2009,2009-12-15
6143,wednesday december 9 1992,1992-12-09
6144,july 9 1981,1981-07-09
6145,monday march 1 1999,1999-03-01
6146,6/2/78,1978-06-02
6147,november 9 2009,2009-11-09
6148,tuesday march 17 1998,1998-03-17
6149,saturday october 30 1976,1976-10-30
6150,24 april 2011,2011-04-24
6151,thursday november 9 1995,1995-11-09
6152,13 january 1975,1975-01-13
6153,november 18 1979,1979-11-18
6154,monday may 3 2010,2010-05-03
6155,sunday march 10 2002,2002-03-10
6156,thursday october 21 1999,1999-10-21
6157,sunday july 8 2007,2007-07-08
6158,saturday april 10 2004,2004-04-10
6159,24.11.90,1990-11-24
6160,tuesday october 7 2008,2008-10-07
6161,11 11 98,1998-11-11
6162,sunday october 7 1984,1984-10-07
6163,15 may 2014,2014-05-15
6164,saturday november 24 1979,1979-11-24
6165,thursday april 21 1994,1994-04-21
6166,sunday january 23 1994,1994-01-23
6167,15 jun 2002,2002-06-15
6168,wednesday september 16 1998,1998-09-16
6169,24 sep 1985,1985-09-24
6170,03 aug 1988,1988-08-03
6171,february 14 2007,2007-02-14
6172,saturday june 25 2016,2016-06-25
6173,wednesday april 19 1972,1972-04-19
6174,saturday march 9 2013,2013-03-09
6175,26 may 1978,1978-05-26
6176,monday december 28 2009,2009-12-28
6177,february 18 1988,1988-02-18
6178,june 22 1998,1998-06-22
6179,1 aug 1998,1998-08-01
6180,20 jul 1974,1974-07-20
6181,22 aug 1991,1991-08-22
6182,22 november 1984,1984-11-22
6183,tuesday may 2 2017,2017-05-02
6184,wednesday march 1 1978,1978-03-01
6185,may 17 2008,2008-05-17
6186,16.02.90,1990-02-16
6187,23 september 2009,2009-09-23
6188,22 february 2004,2004-02-22
6189,friday november 14 2008,2008-11-14
6190,24 sep 2012,2012-09-24
6191,jun 1 1989,1989-06-01
6192,3 may 1993,1993-05-03
6193,24 august 2004,2004-08-24
6194,wednesday september 7 2016,2016-09-07
6195,saturday may 6 2017,2017-05-06
6196,february 13 2011,2011-02-13
6197,wednesday december 8 1993,1993-12-08
6198,19 jun 1997,1997-06-19
6199,sunday october 13 1985,1985-10-13
6200,monday may 15 1989,1989-05-15
6201,february 19 2010,2010-02-19
6202,saturday november 5 1983,1983-11-05
6203,29 january 1971,1971-01-29
6204,friday november 30 2001,2001-11-30
6205,07 dec 1981,1981-12-07
6206,31 mar 2004,2004-03-31
6207,thursday april 14 1988,1988-04-14
6208,15 apr 2006,2006-04-15
6209,march 21 2009,2009-03-21
6210,tuesday june 11 1985,1985-06-11
6211,tuesday may 18 1999,1999-05-18
6212,21 aug 1996,1996-08-21
6213,thursday october 10 2013,2013-10-10
6214,21 jul 1997,1997-07-21
6215,march 6 1999,1999-03-06
6216,7 11 99,1999-11-07
6217,wednesday november 4 1992,1992-11-04
6218,tuesday august 1 1995,1995-08-01
6219,03.02.86,1986-02-03
6220,oct 25 2004,2004-10-25
6221,13.11.01,2001-11-13
6222,monday august 7 1989,1989-08-07
6223,saturday october 17 2015,2015-10-17
6224,wednesday july 1 1987,1987-07-01
6225,9 01 93,1993-01-09
6226,friday december 5 1997,1997-12-05
6227,thursday march 21 1996,1996-03-21
6228,4 aug 2016,2016-08-04
6229,march 8 1972,1972-03-08
6230,friday september 1 1995,1995-09-01
6231,7 july 1987,1987-07-07
6232,jan 19 1974,1974-01-19
6233,september 29 2002,2002-09-29
6234,friday january 20 1989,1989-01-20
6235,april 20 1976,1976-04-20
6236,sunday december 14 2014,2014-12-14
6237,27.09.85,1985-09-27
6238,oct 4 1977,1977-10-04
6239,sunday april 7 1985,1985-04-07
6240,saturday december 12 1970,1970-12-12
6241,february 15 2008,2008-02-15
6242,monday july 4 1983,1983-07-04
6243,wednesday september 24 1975,1975-09-24
6244,friday october 31 2014,2014-10-31
6245,sunday july 30 2017,2017-07-30
6246,30 april 1995,1995-04-30
6247,thursday july 6 1995,1995-07-06
6248,17 december 1980,1980-12-17
6249,aug 22 2003,2003-08-22
6250,10 june 1997,1997-06-10
6251,monday july 14 1997,1997-07-14
6252,15.04.07,2007-04-15
6253,22 may 1973,1973-05-22
6254,15 apr 2017,2017-04-15
6255,monday may 26 1997,1997-05-26
6256,28 jun 2010,2010-06-28
6257,october 21 2005,2005-10-21
6258,may 23 1995,1995-05-23
6259,saturday august 23 2003,2003-08-23
6260,thursday february 19 2009,2009-02-19
6261,tuesday february 27 1990,1990-02-27
6262,wednesday may 29 1991,1991-05-29
6263,28 sep 1974,1974-09-28
6264,8 june 1970,1970-06-08
6265,05.04.15,2015-04-05
6266,4 december 1980,1980-12-04
6267,tuesday may 6 2008,2008-05-06
6268,wednesday december 25 1991,1991-12-25
6269,sunday may 17 2009,2009-05-17
6270,11 mar 1990,1990-03-11
6271,sunday september 6 1970,1970-09-06
6272,wednesday february 18 1998,1998-02-18
6273,june 18 2012,2012-06-18
6274,19 03 03,2003-03-19
6275,wednesday july 26 1989,1989-07-26
6276,oct 14 1986,1986-10-14
6277,monday july 15 1996,1996-07-15
6278,tuesday may 28 1974,1974-05-28
6279,sunday february 26 1978,1978-02-26
6280,5 may 2009,2009-05-05
6281,5/13/04,2004-05-13
6282,30.04.90,1990-04-30
6283,17 aug 2015,2015-08-17
6284,27.04.81,1981-04-27
6285,sunday april 14 2002,2002-04-14
6286,sunday june 10 2007,2007-06-10
6287,21 jan 1999,1999-01-21
6288,7/8/00,2000-07-08
6289,monday july 31 1989,1989-07-31
6290,12.01.71,1971-01-12
6291,27.04.84,1984-04-27
6292,28 july 2017,2017-07-28
6293,16 feb 1999,1999-02-16
6294,wednesday january 27 1982,1982-01-27
6295,tuesday february 7 1989,1989-02-07
6296,wednesday august 2 2017,2017-08-02
6297,jan 21 1994,1994-01-21
6298,11 aug 2007,2007-08-11
6299,friday march 18 1983,1983-03-18
6300,thursday february 9 1995,1995-02-09
6301,30 aug 2006,2006-08-30
6302,4 july 1975,1975-07-04
6303,may 29 2005,2005-05-29
6304,6 october 1983,1983-10-06
6305,november 6 1999,1999-11-06
6306,january 4 1987,1987-01-04
6307,saturday january 10 1981,1981-01-10
6308,30 jun 1998,1998-06-30
6309,tuesday february 13 2018,2018-02-13
6310,15 aug 1978,1978-08-15
6311,tuesday august 15 1989,1989-08-15
6312,saturday december 19 1970,1970-12-19
6313,june 24 2000,2000-06-24
6314,09 oct 1978,1978-10-09
6315,11 jan 1977,1977-01-11
6316,4/18/08,2008-04-18
6317,26 aug 1997,1997-08-26
6318,wednesday march 2 1977,1977-03-02
6319,october 20 2009,2009-10-20
6320,1/15/88,1988-01-15
6321,monday march 5 1984,1984-03-05
6322,1 february 1994,1994-02-01
6323,5 oct 2012,2012-10-05
6324,tuesday august 16 1983,1983-08-16
6325,sunday june 28 1970,1970-06-28
6326,march 29 1974,1974-03-29
6327,12/29/77,1977-12-29
6328,16 mar 1986,1986-03-16
6329,6 january 2002,2002-01-06
6330,06 mar 2010,2010-03-06
6331,26 apr 1991,1991-04-26
6332,30 04 15,2015-04-30
6333,6 jun 1993,1993-06-06
6334,11/15/13,2013-11-15
6335,may 25 1993,1993-05-25
6336,20 april 1974,1974-04-20
6337,sunday june 23 2013,2013-06-23
6338,18 july 2004,2004-07-18
6339,wednesday april 29 2015,2015-04-29
6340,tuesday january 12 1982,1982-01-12
6341,monday november 3 2003,2003-11-03
6342,friday november 1 1974,1974-11-01
6343,05.09.76,1976-09-05
6344,december 22 1997,1997-12-22
6345,jan 25 2001,2001-01-25
6346,sep 14 1985,1985-09-14
6347,aug 13 1989,1989-08-13
6348,thursday august 22 1996,1996-08-22
6349,sunday august 30 1998,1998-08-30
6350,monday august 2 1982,1982-08-02
6351,20 feb 2008,2008-02-20
6352,27.07.98,1998-07-27
6353,friday july 12 2002,2002-07-12
6354,wednesday june 15 2005,2005-06-15
6355,october 14 2015,2015-10-14
6356,21 nov 1989,1989-11-21
6357,feb 2 2002,2002-02-02
6358,monday december 9 2013,2013-12-09
6359,thursday february 17 1983,1983-02-17
6360,february 18 1992,1992-02-18
6361,september 22 1980,1980-09-22
6362,27 10 83,1983-10-27
6363,friday november 19 2010,2010-11-19
6364,march 19 1979,1979-03-19
6365,9 03 71,1971-03-09
6366,monday march 5 2007,2007-03-05
6367,06 oct 2006,2006-10-06
6368,13 october 1973,1973-10-13
6369,11 may 2011,2011-05-11
6370,23 11 79,1979-11-23
6371,monday january 31 2005,2005-01-31
6372,25 december 2015,2015-12-25
6373,monday may 31 2004,2004-05-31
6374,september 4 1981,1981-09-04
6375,10 august 1988,1988-08-10
6376,december 22 1990,1990-12-22
6377,02 sep 1976,1976-09-02
6378,thursday december 11 1986,1986-12-11
6379,6 12 82,1982-12-06
6380,14 jan 2000,2000-01-14
6381,6/1/75,1975-06-01
6382,30 oct 1990,1990-10-30
6383,sunday july 13 1986,1986-07-13
6384,1/13/09,2009-01-13
6385,saturday december 4 1999,1999-12-04
6386,10/31/11,2011-10-31
6387,wednesday september 6 1989,1989-09-06
6388,2/18/91,1991-02-18
6389,10 april 2013,2013-04-10
6390,20 december 2012,2012-12-20
6391,wednesday october 29 1997,1997-10-29
6392,29 december 2014,2014-12-29
6393,monday april 10 2006,2006-04-10
6394,21 may 1995,1995-05-21
6395,monday september 27 1971,1971-09-27
6396,monday november 20 2000,2000-11-20
6397,27.01.04,2004-01-27
6398,tuesday september 29 1987,1987-09-29
6399,18 oct 1978,1978-10-18
6400,tuesday june 14 2011,2011-06-14
6401,thursday december 19 1991,1991-12-19
6402,monday december 29 1997,1997-12-29
6403,25 nov 1988,1988-11-25
6404,sunday february 18 2018,2018-02-18
6405,thursday november 30 1972,1972-11-30
6406,02.06.94,1994-06-02
6407,thursday july 2 1987,1987-07-02
6408,december 18 1999,1999-12-18
6409,monday march 17 2003,2003-03-17
6410,1 nov 1978,1978-11-01
6411,3 july 1995,1995-07-03
6412,9 may 2007,2007-05-09
6413,27 apr 2001,2001-04-27
6414,wednesday april 18 1990,1990-04-18
6415,2 november 1988,1988-11-02
6416,june 16 2016,2016-06-16
6417,sunday may 13 1984,1984-05-13
6418,july 15 1987,1987-07-15
6419,january 19 2008,2008-01-19
